Date,TICKER,Close_Price_Raw,Volume_Raw,PERMNO,SIC_Code
1985-01-02,WELL,0.816373706,2400,61293,6798
1985-01-03,WELL,0.821573675,6150,61293,6798
1985-01-04,WELL,0.800774097,4950,61293,6798
1985-01-07,WELL,0.805973351,3000,61293,6798
1985-01-08,WELL,0.805973351,5850,61293,6798
1985-01-09,WELL,0.821573675,4950,61293,6798
1985-01-10,WELL,0.816373706,2250,61293,6798
1985-01-11,WELL,0.821573675,8100,61293,6798
1985-01-14,WELL,0.821573675,5250,61293,6798
1985-01-15,WELL,0.821573675,28350,61293,6798
1985-01-16,WELL,0.805973351,8850,61293,6798
1985-01-17,WELL,0.811173797,8700,61293,6798
1985-01-18,WELL,0.811173797,4200,61293,6798
1985-01-21,WELL,0.842372656,33900,61293,6798
1985-01-22,WELL,0.852772534,10200,61293,6798
1985-01-23,WELL,0.857972085,5700,61293,6798
1985-01-24,WELL,0.863171518,6750,61293,6798
1985-01-25,WELL,0.863171518,17700,61293,6798
1985-01-28,WELL,0.878771126,12000,61293,6798
1985-01-29,WELL,0.868371606,10200,61293,6798
1985-01-30,WELL,0.852772534,7050,61293,6798
1985-01-31,WELL,0.831972718,16200,61293,6798
1985-02-01,WELL,0.831972718,13800,61293,6798
1985-02-04,WELL,0.842372656,10500,61293,6798
1985-02-05,WELL,0.821573675,18150,61293,6798
1985-02-06,WELL,0.811173797,15900,61293,6798
1985-02-07,WELL,0.805973351,21750,61293,6798
1985-02-08,WELL,0.805973351,34950,61293,6798
1985-02-11,WELL,0.811173797,85800,61293,6798
1985-02-12,WELL,0.837172866,10650,61293,6798
1985-02-13,WELL,0.847572386,4650,61293,6798
1985-02-14,WELL,0.852772534,6750,61293,6798
1985-02-15,WELL,0.863171518,16500,61293,6798
1985-02-19,WELL,0.873571634,19050,61293,6798
1985-02-20,WELL,0.868371606,2850,61293,6798
1985-02-21,WELL,0.857972085,8400,61293,6798
1985-02-22,WELL,0.857972085,5850,61293,6798
1985-02-25,WELL,0.868371606,12300,61293,6798
1985-02-26,WELL,0.878771126,13500,61293,6798
1985-02-27,WELL,0.878771126,3600,61293,6798
1985-02-28,WELL,0.863171518,2550,61293,6798
1985-03-01,WELL,0.868371606,2250,61293,6798
1985-03-04,WELL,0.863171518,3150,61293,6798
1985-03-05,WELL,0.894371629,18300,61293,6798
1985-03-06,WELL,0.863171518,6000,61293,6798
1985-03-07,WELL,0.863171518,6600,61293,6798
1985-03-08,WELL,0.852772534,2250,61293,6798
1985-03-11,WELL,0.847572386,3150,61293,6798
1985-03-12,WELL,0.842372656,6000,61293,6798
1985-03-13,WELL,0.842372656,1500,61293,6798
1985-03-14,WELL,0.852772534,3450,61293,6798
1985-03-15,WELL,0.868371606,13650,61293,6798
1985-03-18,WELL,0.873571634,5100,61293,6798
1985-03-19,WELL,0.863171518,2850,61293,6798
1985-03-20,WELL,0.868371606,1950,61293,6798
1985-03-21,WELL,0.868371606,5250,61293,6798
1985-03-22,WELL,0.847572386,8250,61293,6798
1985-03-25,WELL,0.831972718,7050,61293,6798
1985-03-26,WELL,0.842372656,5250,61293,6798
1985-03-27,WELL,0.847572386,5850,61293,6798
1985-03-28,WELL,0.852772534,10500,61293,6798
1985-03-29,WELL,0.883971691,7500,61293,6798
1985-04-01,WELL,0.894371629,3600,61293,6798
1985-04-02,WELL,0.894371629,3750,61293,6798
1985-04-03,WELL,0.883971691,1800,61293,6798
1985-04-04,WELL,0.873571634,10500,61293,6798
1985-04-08,WELL,0.868371606,3600,61293,6798
1985-04-09,WELL,0.852772534,5250,61293,6798
1985-04-10,WELL,0.873571634,5400,61293,6798
1985-04-11,WELL,0.883971691,3150,61293,6798
1985-04-12,WELL,0.852772534,4650,61293,6798
1985-04-15,WELL,0.883971691,10350,61293,6798
1985-04-16,WELL,0.883971691,2250,61293,6798
1985-04-17,WELL,0.889171302,1800,61293,6798
1985-04-18,WELL,0.904770792,4500,61293,6798
1985-04-19,WELL,0.909970105,10500,61293,6798
1985-04-22,WELL,0.894371629,1200,61293,6798
1985-04-23,WELL,0.899570704,3750,61293,6798
1985-04-24,WELL,0.894371629,4200,61293,6798
1985-04-25,WELL,0.883971691,4950,61293,6798
1985-04-26,WELL,0.878771126,1350,61293,6798
1985-04-29,WELL,0.873571634,2550,61293,6798
1985-04-30,WELL,0.857972085,3000,61293,6798
1985-05-01,WELL,0.857972085,5850,61293,6798
1985-05-02,WELL,0.857972085,5550,61293,6798
1985-05-03,WELL,0.852772534,9300,61293,6798
1985-05-06,WELL,0.847572386,5250,61293,6798
1985-05-07,WELL,0.847572386,2400,61293,6798
1985-05-08,WELL,0.857972085,3750,61293,6798
1985-05-09,WELL,0.847572386,14550,61293,6798
1985-05-10,WELL,0.847572386,3450,61293,6798
1985-05-13,WELL,0.852772534,4500,61293,6798
1985-05-14,WELL,0.863171518,3450,61293,6798
1985-05-15,WELL,0.868371606,4350,61293,6798
1985-05-16,WELL,0.883971691,7800,61293,6798
1985-05-17,WELL,0.894371629,7350,61293,6798
1985-05-20,WELL,0.889171302,7200,61293,6798
1985-05-21,WELL,0.894371629,4500,61293,6798
1985-05-22,WELL,0.873571634,6600,61293,6798
1985-05-23,WELL,0.889171302,2850,61293,6798
1985-05-24,WELL,0.909970105,7500,61293,6798
1985-05-28,WELL,0.899570704,7500,61293,6798
1985-05-29,WELL,0.915170312,8250,61293,6798
1985-05-30,WELL,0.925569177,13500,61293,6798
1985-05-31,WELL,0.930769682,7050,61293,6798
1985-06-03,WELL,0.946369469,10950,61293,6798
1985-06-04,WELL,0.951568842,20100,61293,6798
1985-06-05,WELL,0.967168391,14100,61293,6798
1985-06-06,WELL,0.977567852,22500,61293,6798
1985-06-07,WELL,0.972368658,15750,61293,6798
1985-06-10,WELL,0.956768513,8400,61293,6798
1985-06-11,WELL,0.956768513,8400,61293,6798
1985-06-12,WELL,0.956768513,9450,61293,6798
1985-06-13,WELL,0.956768513,6450,61293,6798
1985-06-14,WELL,0.956768513,2550,61293,6798
1985-06-17,WELL,0.951568842,1800,61293,6798
1985-06-18,WELL,0.951568842,3300,61293,6798
1985-06-19,WELL,0.956768513,9600,61293,6798
1985-06-20,WELL,0.951568842,6300,61293,6798
1985-06-21,WELL,0.961968839,6750,61293,6798
1985-06-24,WELL,0.956768513,6300,61293,6798
1985-06-25,WELL,0.961968839,4500,61293,6798
1985-06-26,WELL,0.961968839,6000,61293,6798
1985-06-27,WELL,0.967168391,12750,61293,6798
1985-06-28,WELL,0.967168391,4950,61293,6798
1985-07-01,WELL,0.961968839,25200,61293,6798
1985-07-02,WELL,0.961968839,9150,61293,6798
1985-07-03,WELL,0.977567852,11550,61293,6798
1985-07-05,WELL,0.982767701,1950,61293,6798
1985-07-08,WELL,0.987968504,13350,61293,6798
1985-07-09,WELL,0.993167877,5700,61293,6798
1985-07-10,WELL,1.01916647,13350,61293,6798
1985-07-11,WELL,1.01916647,2100,61293,6798
1985-07-12,WELL,1.034766078,6000,61293,6798
1985-07-15,WELL,1.029566407,4350,61293,6798
